memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 37.94 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 32 %, 12 %, 35, 39.10 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.13 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.15 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.04 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 27 %, 11 %, 36, 125.58 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.41 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.22 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.03 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 42 %, 16 %, 34, 38.32 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 41 %, 16 %, 35, 38.15 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.23 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
